sub_account_categories,sub_accounts,accounts
savings_account,cash,asset
current_account,cash,asset
receivables,accounts_receivable,asset
pre-paid_expense,pre-paid_expense,asset
furniture,PPE,asset
tools,PPE,asset
real_estate_equity,PPE,asset
investments,other_non_current_assets,asset
payable,account_payables,liabilities
credit_card_loan,short_term_loan,liabilities
bank_loan_nr,long_term_loan,liabilities
real_estate_loan,mortgage_principal,liabilities
equity,equity,equity
salary,income,revenue
dividend_income,income,revenue
other_income,income,revenue
grocery,household_expense,expense
heathcare/medicine,household_expense,expense
transportation,household_expense,expense
insurance,insurance_expense,expense
retail,luxury_expense,expense
eating_out,luxury_expense,expense
travel,luxury_expense,expense
entertainment,luxury_expense,expense
personal_development,luxury_expense,expense
gifts,luxury_expense,expense
rent,rent_expense,expense
electricity,utility_expense,expense
water,utility_expense,expense
gas,utility_expense,expense
telecom,utility_expense,expense
council_tax,utility_expense,expense
bank_fees_charges,bank_charges_interest_fees,expense
mortgage_interest,bank_charges_interest_fees,expense
miscellaneous,luxury_expense,expense
,,